Study,n.e,mean.e,sd.e,n.c,mean.c,sd.c
GSE12649,35,1.604187729,0.70928898,34,1.278885714,0.749953991
GSE12654,13,1.427657366,1.165931258,15,1.274037185,0.755858782
GSE17612,28,9.046184531,0.77899621,23,8.597314108,0.827267336
GSE21138,30,6.511903333,1.154753835,29,5.947182759,0.636787282
GSE21935,23,7.472161854,1.245895701,19,6.611623784,1.189565131
GSE37981,9,3.652668237,1.852733382,9,3.180017275,1.000618809
GSE53987,18,9.42529695,0.606605067,18,9.033752785,0.398177188
GSE53987,15,7.068697795,0.715554619,19,6.509430069,0.464422308
GSE53987,15,8.292208004,0.964592365,18,8.020644548,0.521621448
GSE62191,30,2.912583564,0.284145326,29,2.734722089,0.303634433
GSE93987,102,2.817745098,0.665097189,106,2.650943396,0.525709549
